i	dep_id	line	conc_proc	conc_proc_text	inserted_by	insert_date	updated_by	update_date
1	"10046431"	1	""	"Oxidation"	"MRDS migration"	"29-OCT-02"	""	""
2	"10088064"	1	""	"Hydrothermal Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3	"10011189"	1	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
4	"10101599"	1	""	"Lake Bar Deposit"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
5	"10089179"	1	""	"Hydrothermal Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
6	"10094548"	1	""	"Scheelite Concentrated In Skarns Near Bodies Of Gray Pegmatite And Related Quartz Pods"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
7	"10071401"	1	""	"Primary Ore Minerals Precipitated In A Reducing Environment"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8	"10107406"	1	""	"Weathering, Erosion, Fluvial Or Marine Deposition"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
9	"10015371"	1	""	"Fluvial"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
10	"10088174"	1	""	"Sheet Wash, Gravity Fall"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
11	"60000937"	1	"GRAVITY"	"MECHANICAL, GRAVITY SETTLING"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
12	"10042310"	1	""	"Alluvial"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
13	"10042191"	1	""	"Weathering"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
14	"10103565"	1	""	"Replacement"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
15	"10003832"	1	""	"Metamorphism"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
16	"10103818"	1	""	"Hydrothermal Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
17	"10096168"	1	""	"Zones Of Oxidation & Secondary Enrichment Present"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
18	"10012881"	1	""	"Carbonaceous Material"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
19	"10088153"	1	""	"Fluvial"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
20	"10015735"	1	""	"Hydrothermal Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
21	"10017759"	1	""	"Placer Concentration"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
22	"10045607"	1	""	"Contact Metamorphic.  Some Possible Secondary Chalcocite."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
23	"10014372"	1	""	"Epithermal, Replacement"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
24	"10040971"	1	""	"Hydrothermal Solutions"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
25	"10036253"	1	""	"Leaching"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
26	"10310015"	1	""	"Chemical precipitation"	"Woodruff, Laurel G."	"02-APR-04"	"Woodruff, Laurel G."	"02-APR-04"
27	"10011292"	1	""	"Wave Action"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
28	"10011291"	1	""	"Wave Action"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
29	"10044883"	1	""	"Hydrothermal Replacement"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
30	"10008050"	1	""	"Hidrotermal"	"MRDS migration"	"29-OCT-02"	""	""
31	"10008053"	1	""	"Hidrotermal(Soluciones)"	"MRDS migration"	"29-OCT-02"	""	""
32	"10005673"	1	""	"Evaporitico"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
33	"10044185"	1	""	"Hydrothermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
34	"10003876"	1	""	"Diagenesis,  Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
35	"10027576"	1	""	"Oxidation At Near Surface"	"MRDS migration"	"29-OCT-02"	""	""
36	"10013202"	1	""	"Concentration By Oxidized, Uranium-Bearing Groundwater Passing Through Areas With Localized Reducing Conditions Such As Carbonaceous Material (Mostly Wood Fragments) And Associated Pyrite In Fluvial Channel Sandstones."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
37	"10079492"	1	""	"Either Hydrothermal Or Magmatic Segregation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
38	"10068907"	1	""	"Hydrothermal  (Pegmatic To Catathermal)"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
39	"10037206"	1	""	"Replacement"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
40	"10022797"	1	""	"Gravity Concentration"	"MRDS migration"	"29-OCT-02"	""	""
41	"10087762"	1	""	"Reduction"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
42	"10082711"	1	""	"Soft ore  formed during the mid to late Proterozoic and/or possibly as young as the Cretaceous by (1)  interaction of supergene groundwater which caused oxidation of ferrous iron minerals (siderite), (2) leaching of chert and its replacement by secondary hematite and goethite, and (3) removal of large amounts of CO2.  hard ore formed by oxidation of carbonate of iron formation to soft ore during a period of mid-Proterozoic weathering and metamorphism during the Penokean orogeny which caused the soft ore to recrystallize to hard ore."	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
43	"10013248"	1	""	"Gravity Concentration And Streamflow Processes"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
