i	id	tblorder	tblname	number	label	category	short_desc	description	link	origin	sqltype	dbftype	width	prec	units
1	385	30	"resource_detail"	2	"YR"	"Production and resources"	"Year"	"Four digit year for which the resources estimate applies, or the year the estimate was published.  It is part of the key that uniquely identifies each resource detail entry.  Copied from the parent RES_BASE table."	""	""	"varchar"	"C"	4		""
2	2	1	"ages"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
3	3	1	"ages"	2	"ROCK_LINE"	"Site characteristics"	"Rock record id"	"Sequence index of the entry in the rocks table to which this age pertains."	""	""	"int"	"N"	8		""
4	4	1	"ages"	3	"AGE_LINE"	"Site characteristics"	"Age record id"	"Sequence index, for the given DEP_ID and ROCK_LINE value, of this age record among many that may be associated with the given rock description."	""	""	"int"	"N"	8		""
5	5	1	"ages"	4	"AGE_TP"	"Site characteristics"	"Age type"	"Type of age described: rock (formation) or mineralization"	""	""	"varchar"	"C"	20		""
6	6	1	"ages"	5	"CHRON_AGE"	"Site characteristics"	"Chronological age"	"Numerical age estimate"	""	""	"double"	"N"	8		""
7	7	1	"ages"	6	"PLUS_MINUS"	"Site characteristics"	"Age uncertainty"	"Uncertainty in the age estimate; age is normally expressed as the estimate plus or minus this value."	""	""	"double"	"N"	8		""
8	8	1	"ages"	7	"METHOD"	"Site characteristics"	"Age determination method"	"Analytical method by which the age was determined; typically indicates elements whose isotopes were analyzed."	""	""	"varchar"	"C"	50		""
9	9	1	"ages"	8	"MEDIA"	"Site characteristics"	"Material analyzed"	"Material analyzed to determine the age, typically a mineral name or description of some portion of a rock unit."	""	""	"varchar"	"C"	40		""
10	10	1	"ages"	9	"AGE_YOUNG_BA"	"Site characteristics"	"Young age modifier"	"Modifier to indicate the younger age estimate is a limit, such as Pre- or Post- indicating the younger estimate is the youngest or the oldest reasonable estimate of the younger age."	""	""	"varchar"	"C"	5		""
11	11	1	"ages"	10	"AGE_YOUNG_CD"	"Site characteristics"	"Young age code"	"Look-up code for the young age term given in age_young; values were stored in a separate table LU_AGES within the database."	""	""	"int"	"N"	8		""
12	12	1	"ages"	11	"AGE_YOUNG"	"Site characteristics"	"Young age"	"Youngest estimated age of the rock or mineralization process, given as a chronostratigraphic term like ""Early Devonian""."	""	""	"varchar"	"C"	70		""
13	13	1	"ages"	12	"AGE_OLD_BA"	"Site characteristics"	"Old age modifier"	"Modifier to indicate the older age estimate is a limit, such as Pre- or Post- indicating the older estimate is the youngest or the oldest reasonable estimate of the older age."	""	""	"varchar"	"C"	5		""
14	14	1	"ages"	13	"AGE_OLD_CD"	"Site characteristics"	"Old age code"	"Look-up code for the old age term given in age_old; values were stored in a separate table LU_AGES within the database."	""	""	"int"	"N"	8		""
15	15	1	"ages"	14	"AGE_OLD"	"Site characteristics"	"Old age"	"Oldest estimated age of the rock or mineralization process, given as a chronostratigraphic term like ""Early Devonian""."	""	""	"varchar"	"C"	70		""
16	16	1	"ages"	15	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
17	17	1	"ages"	16	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
18	18	1	"ages"	17	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
19	19	1	"ages"	18	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
20	21	2	"alteration"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
21	22	2	"alteration"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
22	23	2	"alteration"	3	"ALT_TYPE"	"Site characteristics"	"Alteration extent"	"General extent of the alteration described, either L for local or R for regional."	""	""	"char"	"C"	1		""
23	24	2	"alteration"	4	"ALTERAT"	"Site characteristics"	"Alteration terms"	"Controlled terms categorizing alteration at or near the site."	""	""	"varchar"	"C"	75		""
24	25	2	"alteration"	5	"ALTERAT_TEXT"	"Site characteristics"	"Alteration description"	"Description of the alteration of the original mineral assemblage, for example propylitic, argillic, potassic, silicic as given in the original MRDS database."	""	""	"varchar"	"C"	2780		""
25	26	2	"alteration"	6	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
26	27	2	"alteration"	7	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
27	28	2	"alteration"	8	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
28	29	2	"alteration"	9	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
29	31	3	"analytical_data"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
30	32	3	"analytical_data"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
31	33	3	"analytical_data"	3	"ANL_DATA"	"Site characteristics"	"Results of analysis"	"Analysis of deposit ore samples ie geochemical assay values, metal ratios, impurities, physical properties such as density, grain size, and so on."	""	""	"varchar"	"C"	1000		""
32	34	3	"analytical_data"	4	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
33	35	3	"analytical_data"	5	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
34	36	3	"analytical_data"	6	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
35	37	3	"analytical_data"	7	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
36	39	4	"comments"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
37	40	4	"comments"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
38	83	7	"coords"	15	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
39	41	4	"comments"	3	"CTG"	"Site characteristics"	"Comment category"	"Subject category of the comment, like Analytical Data, Commodity, Deposit, Development, Duplicates, Environment, Geology, Location, Names, Orebody, Other Database, Ownership, Production, Reference, Reserve-Resource, or Workings."	""	""	"varchar"	"C"	30		""
40	42	4	"comments"	4	"CMT_TXT"	"Site characteristics"	"Comment"	"Text of the comment."	""	""	"varchar"	"C"	4000		""
41	43	4	"comments"	5	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
42	44	4	"comments"	6	"INSERT_DATE"	"Metadata"	"Insert date"	"Date this table record was first entered."	""	""	"varchar"	"C"	20		""
43	45	4	"comments"	7	"UPDATED_BY"	"Metadata"	"Updated by"	"Database user who last updated this record"	""	""	"varchar"	"C"	30		""
44	46	4	"comments"	8	"UPDATE_DATE"	"Metadata"	"Update date"	"Date this table record was last updated."	""	""	"varchar"	"C"	20		""
45	48	5	"commodity"	1	"DEP_ID"	"Site identification"	"Record ID"	"Site or deposit identification number within this database, used as a key linking all tables containing information about the site."	""	""	"varchar"	"C"	10		""
46	49	5	"commodity"	2	"LINE"	"Metadata"	"Line"	"Sequence index of this table record for the given DEP_ID."	""	""	"int"	"N"	8		""
47	50	5	"commodity"	3	"COMMOD"	"Commodities"	"Commodity name"	"Name of the commodity"	""	""	"varchar"	"C"	40		""
48	51	5	"commodity"	4	"CODE"	"Commodities"	"Commodity code"	"Distinct abbreviated code for the commodity.  These codes are not drawn from an external standard."	""	""	"varchar"	"C"	8		""
49	52	5	"commodity"	5	"COMMOD_TP"	"Commodities"	"Commodity type"	"General type of commodity: metal, nonmetal, both, or (rarely) energy."	""	""	"varchar"	"C"	12		""
50	53	5	"commodity"	6	"COMMOD_GROUP"	"Commodities"	"Commodity group"	"Name of a group to which a commodity belongs, for example PGE for the various platinum-group elements."	""	""	"varchar"	"C"	40		""
51	55	5	"commodity"	8	"INSERTED_BY"	"Metadata"	"Inserted by"	"Database user who inserted this record."	""	""	"varchar"	"C"	30		""
