i	dep_id	rec	group_name	inserted_by	insert_date	updated_by	update_date
1	"10054426"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
2	"10054483"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
3	"10054487"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
4	"10095324"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
5	"10095670"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
6	"10095812"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
7	"10098517"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
8	"10109331"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
9	"10109354"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
10	"10109703"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
11	"10127390"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
12	"10128637"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
13	"10128703"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
14	"10128809"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
15	"10134780"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
16	"10152481"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
17	"10152560"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
18	"10152570"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
19	"10152650"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
20	"10152735"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
21	"10071310"	2	"Includes Deposit ID 10197015 (Ohio - Keating)"	"WHERAN"	"06-AUG-07"	""	""
22	"10124495"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"13-AUG-07"	""	""
23	"10071338"	2	"Includes Deposit ID10269581 (Silver Dyke Mine)"	"WHERAN"	"15-AUG-07"	""	""
24	"10069779"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"15-AUG-07"	""	""
25	"10070464"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"30-AUG-07"	""	""
26	"10070464"	2	"Includes Deposit ID 10124473 (Easton-Pacific Mine)"	"WHERAN"	"30-AUG-07"	""	""
27	"10400174"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"06-SEP-07"	""	""
28	"10400178"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"12-SEP-07"	""	""
29	"10400184"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"19-SEP-07"	""	""
30	"10400185"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"19-SEP-07"	""	""
31	"10400186"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"19-SEP-07"	""	""
32	"10400190"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"26-SEP-07"	""	""
33	"10400191"	1	"National Assessment Porphyry Copper"	"WHERAN"	"03-OCT-07"	"WHERAN"	"28-OCT-09"
34	"10310301"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
35	"10310303"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
36	"10310304"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
37	"10310306"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
38	"10310307"	2	"National Assessment Porphyry Copper"	"WHERAN"	"13-JAN-10"	""	""
39	"10310308"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
40	"10310309"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
41	"10310310"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
42	"10310311"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
43	"10310313"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
44	"10310314"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
45	"10310315"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
46	"10310316"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
47	"10310317"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
48	"10310692"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
49	"10310693"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
50	"10310694"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
51	"10270168"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"28-JUN-07"	""	""
52	"10125004"	2	"Includes Deposit ID10098496 (Mouat-Sampson Mine)"	"WHERAN"	"06-JUL-07"	""	""
53	"10125004"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"06-JUL-07"	""	""
54	"10048507"	2	"Includes Deposit ID 10124467 (Nye-Chrome Lake Ni-Cu)"	"WHERAN"	"09-JUL-07"	""	""
55	"10048507"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"09-JUL-07"	""	""
56	"10246088"	2	"Includes Deposit ID 10107700 (Winston)"	"WHERAN"	"12-JUL-07"	""	""
57	"10246088"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"12-JUL-07"	""	""
58	"10071381"	2	"Includes Deposit ID 10246177 (Big Seven)"	"WHERAN"	"26-JUL-07"	""	""
59	"10089197"	4	"Includes Deposit ID 10124398 (Equator Tunnel of Block P Mine)"	"WHERAN"	"01-AUG-07"	""	""
60	"10089197"	6	"Includes Deposit ID 10270681 (200-Ft. Level, Wright & Edwards)"	"WHERAN"	"01-AUG-07"	""	""
61	"10089197"	8	"Includes Deposit ID 10245650  (A Tunnel of Block P Mine)"	"WHERAN"	"01-AUG-07"	""	""
62	"10071380"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"01-AUG-07"	""	""
63	"10071380"	2	"Includes Deposit ID 10148750 (Broadwater Mine)"	"WHERAN"	"01-AUG-07"	""	""
64	"10105714"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"02-AUG-07"	""	""
65	"10105714"	2	"Includes Deposit ID 102211634 (Comet Mine)"	"WHERAN"	"02-AUG-07"	""	""
66	"10070485"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"03-AUG-07"	""	""
67	"10070485"	2	"Includes Deposit ID 10172926 (Bi-Metallic)"	"WHERAN"	"03-AUG-07"	""	""
68	"10070485"	3	"Includes Deposit ID 10173358  (Granite Belle Claim)"	"WHERAN"	"03-AUG-07"	""	""
69	"10070485"	4	"Includes Deposit ID 10019456 (Granite Belle Claim)"	"WHERAN"	"03-AUG-07"	""	""
70	"10070485"	5	"Includes Deposit ID 10197106 (Granite, Ruby Shaft)"	"WHERAN"	"03-AUG-07"	""	""
71	"10071377"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"03-AUG-07"	""	""
72	"10071377"	2	"Includes Deposit ID 10221290 (Jay Gould Mine)"	"WHERAN"	"03-AUG-07"	""	""
73	"10071333"	1	"Montana Significant Deposit Master Record"	"WHERAN"	"06-AUG-07"	""	""
74	"10310647"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
75	"10310648"	1	"Surveys and Analysis Project"	"PSCHRUBE"	"03-DEC-07"	""	""
76	"10152798"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
77	"10152805"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
78	"10152857"	1	"pslocprob"	"pschrube"	"06-JUN-08"	""	""
