i	dep_id	yr	line	res_nm	res_tp	proved	probable	reserves	meas	indic	demo	infer	tot_resources	tot_endowment	units	best_rec	remrk	inserted_by	insert_date	updated_by	update_date
1	"10183390"	"1981"	1	""	"In-situ"				250000		250000		250000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
2	"10134150"	"1990"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
3	"10183628"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
4	"10255780"	"1988"	3	""	"In-situ"				33060000		33060000				"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
5	"10255710"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
6	"10231236"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
7	"10182980"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
8	"10133861"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
9	"10069246"	"1973"	3	"AT KANSA & NEARBY SUKINDA"	"In-situ"								35000000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
10	"10158849"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
11	"10183352"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
12	"10182938"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
13	"10082635"	"1991"	1	""	"In-situ"			4523000							""	"Y"	""	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
14	"10243632"	"1995"	2	""	"In-situ"						1000000		1000000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
15	"10243632"	"1993"	1	""	"In-situ"					1200000	1200000		1200000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
16	"10005673"	"1963"	20	""	"In-situ"								405000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
17	"10201760"	"1943"	1	""	"In-situ"					45350	45350		45350		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
18	"10096169"	"1984"	1	""	"In-situ"								100000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
19	"10305280"	"1976"	3	""	"In-situ"				90700000		90700000		90700000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
20	"10255307"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
21	"10256083"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
22	"10133711"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
23	"10159013"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
24	"10303888"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
25	"10255193"	"1991"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
26	"10126767"	"1975"	1	""	"In-situ"				1020000000		1020000000		1020000000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
27	"10046769"	"1966"	1	""	"In-situ"								204000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
28	"10086832"	"1966"	3	""	"In-situ"								22400000		"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
29	"10086832"	"1966"	1	""	"In-situ"								24080000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
30	"10305542"	"1992"	1	""	"In-situ"				107515		107515		107515		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
31	"10133984"	"1991"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
32	"10157803"	"1995"	1	""	"In-situ"					8400000	8400000		8400000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
33	"10281045"	"0"	3	""	"In-situ"				5000000		5000000		5000000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
34	"10104635"	"1979"	3	""	"In-situ"								1200000		"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
35	"10104635"	"1979"	1	""	"In-situ"								1020000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
36	"10060636"	"1988"	1	""	"In-situ"								60000000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
37	"10111259"	"1975"	5	""	"In-situ"								510000000		"mt ore"	""	""	"MRDS migration"	"29-OCT-02"	""	""
38	"10111259"	"1982"	3	""	"In-situ"								2850000000		"mt ore"	""	""	"MRDS migration"	"29-OCT-02"	""	""
39	"10111259"	"1986"	1	""	"In-situ"								1015000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
40	"10206830"	"1986"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
41	"10304259"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
42	"10158115"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
43	"10159280"	"0"	1	""	"In-situ"						200000		200000		"mt concentrate"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
44	"10206682"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
45	"10304280"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
46	"10206846"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
47	"10256151"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
48	"10166450"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
49	"10280126"	"1986"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
50	"10158537"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
51	"10255236"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
52	"10255699"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
53	"10133883"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
54	"10255290"	"1992"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
55	"10230743"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
56	"10256167"	"1986"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
57	"10255122"	"1991"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
58	"10305479"	"1991"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
59	"10305158"	"1992"	1	""	"In-situ"						100000		100000		"mt concentrate"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
60	"10086984"	"1990"	20	""	"In-situ"								55440000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
61	"10279673"	"1991"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
62	"10279617"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
63	"10280566"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
64	"10142608"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
65	"10280789"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
66	"10257178"	"1991"	1	""	"In-situ"						200000		200000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
67	"10183340"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
68	"10182607"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
69	"10082613"	"1995"	1	""	"In-situ"			9							""	"Y"	""	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
70	"10181912"	"1974"	2	""	"In-situ"					700000	700000		700000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
71	"10181912"	"1974"	1	""	"In-situ"					3700000	3700000		3700000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
72	"10023439"	"1981"	3	""	"In-situ"								48390000		"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
73	"10023439"	"1965"	1	""	"In-situ"								45351000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
74	"10049247"	"1960"	1	""	"In-situ"								5000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
75	"10070222"	"1947"	20	""	"In-situ"							20000			"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
76	"10068907"	"1974"	1	""	"In-situ"								678300000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
77	"10024333"	"1982"	20	""	"In-situ"										"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
78	"10134237"	"0"	3	""	"In-situ"				72099		72099	640400	712499		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
79	"10133305"	"1974"	3	""	"In-situ"				97956000		97956000		97956000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
80	"10158410"	"1970"	2	""	"In-situ"								341000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
81	"10158410"	"1970"	1	""	"In-situ"								1223000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
82	"10158428"	"1991"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
83	"10305551"	"1994"	2	""	"In-situ"							14500	14500		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
84	"10305551"	"1994"	1	""	"In-situ"				1100		1100		1100		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
85	"10305551"	"1994"	3	""	"In-situ"								28000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
86	"10086786"	"1983"	1	""	"In-situ"								12520000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
87	"10134070"	"1987"	1	""	"In-situ"					319000	319000		319000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
88	"10088467"	"1977"	20	""	"In-situ"								3190000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
