i	dep_id	line	struct_type	struct	struct_text	inserted_by	insert_date	updated_by	update_date
1	"10012781"	1	"R"	""	"Wasatch Fault"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
2	"10037392"	1	"R"	""	"Abundant Normal Faults"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
3	"10037392"	1	"L"	""	"Shear Zones"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
4	"10006214"	1	"R"	""	"On E Flank Of A Nw-Se Anticline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
5	"10024237"	1	"R"	""	"Plegamiento De La Secuencia Mesozoica Y Fallamiento En Bloques"	"MRDS migration"	"29-OCT-02"	""	""
6	"10024237"	1	"L"	""	"Plegamiento Y Fallas Transversales"	"MRDS migration"	"29-OCT-02"	""	""
7	"10306151"	1	"R"	""	"Limestone"	"woodruff"	"03-JUL-2003 15:08:41"	""	""
8	"10006197"	1	"R"	""	"On W Flank Of An Anticline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
9	"10082613"	2	"L"	""	"Two flow tops 175 feet apart stratigraphically are mineralized and cross cu"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
10	"10013783"	1	"R"	""	"Tarryall Mountains, Front Range, Puma Hills, Badger Flats"	"MRDS migration"	"29-OCT-02"	""	""
11	"10013783"	1	"L"	""	"Badger Flats Fault, Minor Faults, Round Mountain Syncline"	"MRDS migration"	"29-OCT-02"	""	""
12	"10013203"	1	"R"	""	"Thirtynine Mile Volcanic Field, Currant Creek Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
13	"10013203"	1	"L"	""	"Echo Park Graben, Paleovalleys"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
14	"10087128"	1	"R"	""	"Wasatch Mtns"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
15	"10087128"	1	"L"	""	"Wasatch Mtns"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
16	"10011085"	1	"R"	""	"Wasatch Mountains"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
17	"10011085"	1	"L"	""	"Wasatch Mountains"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
18	"10006363"	1	"R"	""	"On W Flank Of Anticline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
19	"10006626"	1	"R"	""	"Anticline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
20	"10059413"	1	"R"	""	"Abastecedora Fault Which Strikes For At Least 6 Kilometers"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
21	"10080022"	1	"R"	""	"Virgilina Synclinorium"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
22	"10080022"	1	"L"	""	"Prevailing Schistosity Strikes N 10-20 Deg E And Dips 70-80 Deg E."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
23	"10044883"	1	"R"	""	"Deposit In Upper Plate Of Roberts Mtn Thrust"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
24	"10306857"	1	"R"	""	"Pegmatite"	"woodruff"	"28-OCT-2003 08:53:00"	""	""
25	"10020292"	1	"R"	""	"Basin & Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
26	"10020292"	1	"L"	""	"Overthrusting Of Proterozoic Rocks Over Paleozoic.  Area Forms Steep Homocline Striking N-S."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
27	"10056296"	1	"R"	""	"Falla"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
