i	dep_id	line	tect_set	tect_set_text	inserted_by	insert_date	updated_by	update_date
1	"10022123"	1	""	"Interior Basin; Deltaic Red Bed Margin"	"MRDS migration"	"29-OCT-02"	""	""
2	"10310540"	1	""	"SILVER PEAK CALDERA"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
3	"10095380"	1	""	"Mobile Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
4	"10045303"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
5	"10036723"	1	""	"Cascade Volcanic Arc"	"MRDS migration"	"29-OCT-02"	""	""
6	"10013565"	1	""	"Medicine Lodge Thrust System - Allocthon"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
7	"10090119"	1	""	"Basin And Range-Colorado Plateau Transition"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
8	"10004370"	1	""	"Passive Continental Margin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
9	"10005772"	1	""	"Intrusivos Dioritico, Granodioritico."	"MRDS migration"	"29-OCT-02"	""	""
10	"10068929"	1	""	"Andean Cordillera"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
11	"10013828"	1	""	"Central Cordillera (Southern Rocky Mountains)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
12	"10022048"	1	""	"Interior Basin; Deltaic Red Bed Margin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
13	"10013248"	1	""	"Central Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
14	"10025906"	1	""	"Blue Ridge Province"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
15	"10055963"	1	""	"Late Paleozoic Sedimentary Rocks Were Deposited Along An Active Continental Margin."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
16	"10088795"	1	""	"Basin And Range-Colorado Plateau Transition Zone"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
17	"10001350"	1	""	"Mansfield Sub Belt, Brew And Ford, Usgs Ofr 85-395, P. 10"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
18	"10024193"	1	""	"Puna"	"MRDS migration"	"29-OCT-02"	""	""
19	"10004358"	1	""	"Passive Continental Margin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
20	"10005458"	1	""	"Puna"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
21	"10088096"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
22	"10015796"	1	""	"Miogeosyncline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
23	"10072659"	1	"Superior Province"	""	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"	"Woodruff, Laurel G."	"27-SEP-2006 00:00:00"
24	"10067542"	1	""	"Piedmont"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
25	"10004213"	1	""	"Magmatic Arc"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
26	"10012781"	1	""	"Wasatch Front"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
27	"10011292"	1	""	"Basin & Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
28	"10070107"	1	""	"Island Arc Volcanic Chain"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
29	"10002376"	1	""	"Craig Subterranes, Alexander Terrane"	"MRDS migration"	"29-OCT-02"	""	""
30	"10000816"	1	""	"Chugach Terrane"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
31	"10082613"	1	"Midcontinent Rift"	""	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
32	"10013783"	1	""	"Central Cordillera (Southern Rocky Mountains)"	"MRDS migration"	"29-OCT-02"	""	""
33	"10088016"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
34	"10011189"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
35	"10073189"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
36	"10013203"	1	""	"Central Cordillera (Southern Rocky Mountains)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
37	"10087128"	1	""	"Cordilleran Hinge Line"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
38	"10011085"	1	""	"Cordilleran Hingeline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
39	"10080022"	1	""	"Piedmont"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
40	"10022054"	1	""	"Interior Basin; Deltaic Red Bed Margin"	"MRDS migration"	"29-OCT-02"	""	""
41	"10096536"	1	""	"Folds"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
42	"10070222"	1	""	"Geosynclinal Folding; Island Arc"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
43	"10068907"	1	""	"Tension Fractures Striking 115 Deg"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
44	"10071401"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
45	"10080339"	1	""	"Cordilleras Altas Orientales, Taquesi - Mururata Batholith"	"MRDS migration"	"29-OCT-02"	""	""
46	"10024333"	1	""	"Ophiolite"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
47	"10063118"	1	""	"Passive Continental Margin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
48	"10015371"	1	""	"Colorado Plateau"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
49	"10042310"	1	""	"Colorado Plateau-Basin And Range-Transition Zone"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
50	"10010603"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
51	"10061314"	1	""	"Island Arc"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
52	"10042282"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
53	"10020029"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
54	"10061555"	1	""	"Ophiolite"	"MRDS migration"	"29-OCT-02"	""	""
55	"10020292"	1	""	"Sevier Orogenic Belt"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
56	"10082635"	1	"Midcontinent Rift"	""	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
57	"10079022"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
58	"10101599"	1	""	"Cordilleran Hingeline"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
59	"10088853"	1	""	"Active Margin (Leading Edge Of North American Plate)"	"MRDS migration"	"29-OCT-02"	""	""
60	"10093741"	1	""	"Belt Basin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
61	"10094548"	1	""	"Central Cordillera, Southern Rocky Mtns"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
62	"10014382"	1	""	"Central Cordillera (Southern Rocky Mtns)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
63	"10022133"	1	""	"Interior Basin; Deltaic Red Bed Margin"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
64	"10078698"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
65	"10013202"	1	""	"Central Cordillera (Southern Rocky Mountains)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
66	"10079511"	1	""	"Sediments Are Disturbed By Tectonic Dislocations"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
67	"10061271"	1	""	"Island Arc"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
68	"10013364"	1	""	"Central Cordillera (Southern Rocky Mountains)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
69	"10087252"	1	""	"Basin & Range Province"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
70	"10060369"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
71	"10082711"	1	"Canadian Shield"	""	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
72	"10088174"	1	""	"Colorado Plateau"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
73	"10013160"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
74	"10013166"	1	""	"Colorado Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
75	"10055860"	1	""	"Paleocene To Eocene Granitic Rocks Intrude Metamorphosed Ordovician? Rock (Joseph, 1990, Geol. Map)."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
76	"10105168"	1	""	"Island Arc"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
77	"10106199"	1	"Midcontinent Rift"	""	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	""	""
78	"10078729"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
79	"10011030"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
80	"10014076"	1	""	"Central Cordillera (Southern Rocky Mtns)"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
81	"10015213"	1	""	"Basin & Range Colorado Plateau Transition"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
82	"10011291"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
83	"10046769"	1	""	"Silver Peak Caldera"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
84	"10088064"	1	""	"Basin & Range - Colorado Plateau Transition"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
85	"10055962"	1	""	"The Kobau Formation Was Deposited Along An Active Continental Margin Proximal To An Island Arc."	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
86	"10089626"	1	""	"Stable Platform"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
87	"10040319"	1	""	"Basin And Range"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
88	"10026950"	1	""	"Whitlock Valley Terrain"	"MRDS migration"	"29-OCT-2002 10:12:04"	""	""
