i	dep_id	name	dev_stat	url	code_list	longitude	latitude
220	10029600	"Unknown"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10029600"	" AU "	-124.14588	41.6751
240	10033726	"Ware Deposit No. 2"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10033726"	" MN "	-123.52223	40.21346
244	10034372	"Black Bear"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10034372"	" AU "	-122.51081	40.55707
260	10035842	"Gold Dollar"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035842"	" AU FE "	-122.70472	41.07123
261	10035908	"Amy Balch Mine"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035908"	" AU FE "	-122.72582	40.72791
632	10086634	"Hickey"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10086634"	" AU "	-123.08945	41.25651
714	10095207	"Apple Flat Prospect"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10095207"	" MN "	-123.33889	40.29541
794	10103303	"Jake Connor"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10103303"	" AU "	-122.92806	41.59678
833	10109217	"Hanes Creek"	"Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10109217"	" MN "	-124.07197	40.89205
857	10111146	"Unnamed Location"	"Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10111146"	" CR "	-122.53111	41.45901
894	10116544	"Little Nellie"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10116544"	" AU CU "	-122.5105	40.67205
1087	10141262	"Unnamed"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10141262"	" CR "	-122.60281	41.28374
1089	10141432	"H Johnson Claims"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10141432"	" ASB "	-122.47191	41.31264
1093	10141887	"Chrome No. 2"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10141887"	" CR "	-122.5433	41.00845
1224	10159612	"Unnamed Location"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10159612"	" STN_C "	-122.58331	41.51704
1248	10163771	"Hoopa Pit"	"Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10163771"	" SDG "	-123.67193	41.05984
1261	10165660	"Gold Dollar No 1-5"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10165660"	" AU "	-123.05301	40.79154
1262	10166055	"Little Red Mountain Group"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10166055"	" CR FE "	-122.9647	40.22655
1420	10189258	"Black Peak"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10189258"	" AU "	-122.51329	40.53675
1421	10189357	"Big Cliff"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10189357"	" AU "	-123.03472	41.29294
1601	10213964	"Niagara Summit Mine"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10213964"	" AU "	-122.6994	40.71625
1604	10214130	"Shoe Maker"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10214130"	" CU "	-122.5494	41.06175
1773	10235972	"Big Flat"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10235972"	" AU "	-123.89645	41.55903
1788	10237850	"Boito Et Al"	"Prospect"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10237850"	" ASB "	-122.4642	41.05265
1789	10237916	"Continental"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10237916"	" AU "	-122.5878	40.54795
1795	10238276	"Ladder Camp"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10238276"	" CR "	-123.23532	40.94064
1797	10238690	"Placer Exploration Co"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10238690"	" AU "	-122.95441	40.64985
1799	10238837	"Big Bend"	"Unknown"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10238837"	" AU "	-122.80251	40.71985
1970	10262924	"Fortuna Group"	"Prospect"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10262924"	" CU "	-123.49942	40.37485
1975	10263568	"Headstrom"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10263568"	" AU "	-122.66891	41.08094
2095	10280647	"Bonoa"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10280647"	" AU "	-123.52754	41.32203
2542	10029730	"Soldier's Well McClendon"	"Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10029730"	" CR "	-123.97337	41.68982
2545	10030603	"Red Cap Creek"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10030603"	" CU "	-123.52669	41.23094
2577	10033669	"Big Boy Deposit"	"Occurrence"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10033669"	" MN "	-123.53056	40.19707
2580	10034446	"Kit Carson"	"Past Producer"	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10034446"	" AU "	-122.4297	40.65763
