Mine,County,Elevation,Commodity,Latitude,Longitude,MRDS
Zaca,Alpine,6155 Feet,Gold,38.66528,-119.70611,10006821
Silver Mtn,Alpine,7799 Feet,Gold,38.5383,-119.57000,10259617
Mtn Gold and Silver,Alpine,6001 Feet,Gold,38.6769,-119.77530,10259746
Round Top,Alpine,8560 Feet,Gold,38.6767,-120.00030,10211387
Raymond Meadows Creek,Alpine,6801 Feet,Gold,38.6711,-119.69310,10163004
Highland Mary,Alpine,5699 Feet,Gold,38.7414,-119.73810,10235719
Zaca Mine & Mill,Alpine,6001 Feet,Gold Silver,38.6661,-119.70640,10211705
Jessie Claim,Alpine,7680 Feet,Gold,38.6231,-119.78250,10284014
Marion,Alpine,7280 Feet,Gold,38.6867,-119.71190,10211465
Alpine,Alpine,6801 Feet,Gold,38.6756,-119.71500,10134981
Fremont,Alpine,8399 Feet,Gold,38.6817,-119.61000,10138096
Dixon Brothers Prospect,Alpine,7198 Feet,Gold,38.5292,-119.58060,10211398
Curtz,Alpine,7198 Feet,Gold,38.6833,-119.68720,10187464
Colorado Hill,Alpine,8399 Feet,Gold,38.6756,-119.60890,10187279
Bueno,Alpine,7198 Feet,Gold,38.6122,-119.66890,10138197
Balaklava,Alpine,6801 Feet,Gold,38.6161,-119.66030,10114326
B and J,Alpine,7684 Feet,Gold,38.6731,-119.67670,10284215
Lincoln Flint,Alpine,8301 Feet,Gold,38.6739,-119.70690,10211519
I.X.L.,Alpine,7198 Feet,Gold,38.6186,-119.77750,10211445
Imperial Group,Alpine,7100 Feet,Gold,38.6489,-119.70420,10114171
Orion,Alpine,na,Gold,38.68306,-119.70611,10034944
Dixon Brothers,Alpine,na,Silver Gold,38.52556,-119.58444,10034934
Joe Larsen Claim,Alpine,6801 Feet,Gold,38.6703,-119.68690,10235483
Silver King,Alpine,8399 Feet,Gold,38.5247,-119.61720,10235522
Red Gap,Alpine,6801 Feet,Gold,38.6675,-119.69220,10211073
Merrimac,Alpine,7198 Feet,Gold,38.6522,-119.71060,10284720
St. Helena,Alpine,na,Gold,38.63861,-119.78139,10034949
Washington,Alpine,na,Gold,38.65667,-119.71167,10036246
Advance,Alpine,na,Silver Gold,38.66611,-119.70333,10034297
Mountain Gold & Silver,Alpine,na,Gold,38.59444,-119.77167,10103148
Alpine Happy Thought,Alpine,na,Gold Silver Molybdenum,38.665,-119.72278,10103141
Fremont,Alpine,na,Gold,38.68306,-119.71194,10034936
Mammoth,Alpine,na,Gold,38.59583,-119.72694,10006811
Globe,Alpine,na,Gold,38.66194,-119.71694,10103145
Wolf Creek Group Later Known As Boulder Hill Group,Alpine,na,Gold,38.615,-119.66944,10028006
Pennsylvania,Alpine,na,Gold,38.60778,-119.79944,10034945
Boulder Hill,Alpine,6699 Feet,Gold,38.67,-119.71722,10101064
Round Top,Alpine,8799 Feet,Gold,38.67528,-120.00139,10101060
Zaca Mine,Alpine,na,Tungsten Silver Gold,38.66667,-119.70000,10008590
St. Helena,Alpine,7500 Feet,Gold,38.6417,-119.67670,10235410
Dixon Mine,Alpine,na,Copper Antimony Molybdenum Gold Silver,38.61556,-119.68417,10028005
Unnamed Prospect,Alpine,6398 Feet,Gold,38.59,-119.65360,10187114
George M. Williams Ranch,Alpine,8560 Feet,Gold,38.6411,-119.62330,10187119
Boulder Hill,Alpine,6801 Feet,Gold,38.6689,-119.71580,10114738
Globe Mine,Alpine,6001 Feet,Gold,38.6642,-119.70720,10211538
Winchester,Alpine,7198 Feet,Gold,38.6567,-119.71310,10235299
Washington Garfield,Alpine,5600 Feet,Gold,38.6844,-119.75360,10260260
Georgiana,Alpine,na,Gold,38.5925,-119.69639,10034937
Esmeralda,Alpine,7598 Feet,Gold,38.6503,-119.59830,10187020
Silver Cloud,Alpine,na,Gold,38.63972,-119.79944,10034946
Lincoln,Alpine,na,Gold,38.66694,-119.71472,10034941
Last Resort,Alpine,na,Gold,38.66333,-119.71111,10034940
Alpine Mine Happy Thought Mine,Alpine,na,Gold Silver,38.67,-119.73111,10028004
Balaklava,Alpine,na,Gold,38.61083,-119.76083,10103142
Cal-Pine Mine,Alpine,na,Tungsten Gold,38.72861,-119.88611,10103218
Vance,Alpine,na,Gold,38.64333,-119.77639,10006809
Alhambra Mine,Alpine,9501 Feet,Gold Silver,38.72778,-119.97111,10006806
I X L,Alpine,na,Gold,38.62306,-119.76972,10101061
Merrimac,Alpine,na,Gold,38.65417,-119.71361,10034943
Washington,Alpine,na,Gold,38.65667,-119.71167,10045625
Allumbra Mine,Alpine,8560 Feet,Gold,38.7283,-119.97110,10159808
Good Hope Mine,Alpine,6759 Feet,Gold,38.6842,-119.74690,10114129
Exchequer and Ixl Mines,Alpine,7779 Feet,Gold,38.6225,-119.78190,10211204
Esmeralda,Alpine,na,Gold,38.65528,-119.71250,10034935
Boulder Hill,Alpine,na,Gold Silver,38.68333,-119.90000,10022724
Manchester,Alpine,na,Gold,38.65389,-119.71083,10103147
Unidentified Mine,Alpine,na,Gold,38.71,-120.03861,10101059
Alpine,Alpine,na,Gold,38.67611,-119.60472,10006816
Curtz Mine,Alpine,na,Gold,38.68278,-119.69917,10034933
Flint,Alpine,na,Gold,38.68306,-119.71194,10103526
Highland Mary Etal,Alpine,na,Gold,38.65444,-119.73806,10034938
B. and J Mine,Alpine,na,Gold,38.6675,-119.68194,10034930
Black Jack,Alpine,na,Gold,38.68333,-119.69472,10034931
Lady Franklin,Alpine,na,Gold,38.61972,-119.77889,10006810
Colorado No.2 Tarshish,Alpine,na,Gold Silver,38.66361,-119.69750,10109090
Raymond Meadows Creek,Alpine,na,Gold,38.58389,-119.81111,10006815
Orphan Boy Prospect,Alpine,7300 Feet,Gold,38.6456,-120.00920,10260329
Cindy and Deer Claims,Alpine,7841 Feet,Gold,38.5856,-119.80750,10114301
California-Illinois,Alpine,6959 Feet,Gold,38.6281,-119.80690,10138411
Hilltop Prospect,Alpine,8159 Feet,Gold,38.5194,-119.56670,10162737
Last Resort,Alpine,6001 Feet,Gold,38.6633,-119.71110,10114541
Lawler Ranch,Alpine,9199 Feet,Gold,38.5181,-119.78110,10260287
Vance Mine,Alpine,6001 Feet,Gold,38.6583,-119.72080,10284052
Silver Cloud,Alpine,7198 Feet,Gold,38.635,-119.80560,10187283
Marion,Alpine,na,Gold,38.68361,-119.71194,10034942
Orion,Alpine,6401 Feet,Gold,38.6842,-119.70560,10235426
Lost Cabin,Alpine,8560 Feet,Gold,38.6822,-120.01390,10187054
Columbine Claim,Alpine,7799 Feet,Gold,38.5853,-119.80610,10187033
Curtz,Alpine,7100 Feet,Gold,38.6847,-119.70140,10114590
Wolf Creek Group,Alpine,6801 Feet,Gold,38.615,-119.66940,10162878
Dixon Mine,Alpine,6401 Feet,Gold,38.6156,-119.68420,10162823
Dixon,Alpine,na,Gold,38.61583,-119.68417,10006813
Winchester,Alpine,na,Gold,38.59611,-119.74361,10103150
Silver Hill Prospects,Alpine,na,Gold,38.65361,-119.70250,10034947
Imperial Group,Alpine,na,Gold,38.65361,-119.71083,10034939
Joe Larsen Claim,Alpine,na,Gold,38.6675,-119.68778,10006817
Lost Cabin,Alpine,na,Gold,38.68194,-120.01389,10006807
Fremont,Alpine,na,Gold,38.68306,-119.71194,10045624
Bueno,Alpine,na,Gold,38.6125,-119.78111,10034932
Good Hope,Alpine,na,Gold,38.68417,-119.74861,10101062
Red Gap,Alpine,na,Gold,38.6625,-119.69444,10006818
Isabella,Alpine,na,Gold,38.61,-119.76250,10103146
Silver King,Alpine,na,Gold,38.525,-119.62000,10034948
Valpine Mine,Alpine,na,Gold Tungsten,38.71667,-119.88333,10101384
Lady Franklin,Alpine,7500 Feet,Gold Silver,38.62056,-119.77972,10079218
Raymond,Alpine,na,Gold,38.585,-119.80583,10103149
Little Illinois,Amador,801 Feet,Gold,38.44667,-120.84778,10028160
Midway and Esmeralda,Amador,2999 Feet,Gold,38.4464,-120.55640,10211002
Onondago,Amador,1050 Feet,Gold,38.5364,-120.85000,10187398
Udy,Amador,1299 Feet,Gold,38.3597,-120.77060,10259705
Lancha Plana Gold Dredging Co.,Amador,381 Feet,Gold,38.33,-120.92000,10284555
Glavich,Amador,1801 Feet,Gold,38.4022,-120.74940,10162377
Buena Vista Dredge No 3,Amador,400 Feet,Gold,38.2894,-120.88970,10284700
Loncha Plana Gold Dr,Amador,299 Feet,Gold,38.29,-120.97000,10187010
South Keystone,Amador,1181 Feet,Gold,38.41028,-120.81611,10076472
Secor Dredge,Amador,2201 Feet,Gold,38.4544,-120.69690,10260099
Prospects,Amador,2510 Feet,Gold,38.4778,-120.64750,10187394
Placer Gravel,Amador,1801 Feet,Gold,38.3422,-120.68330,10235227
Mountain King Mountain Queen,Amador,2598 Feet,Gold,38.4069,-120.65970,10138451
South Eureka,Amador,1699 Feet,Gold,38.38028,-120.79500,10109105
Pick and Drill,Amador,2398 Feet,Gold,38.4181,-120.56470,10187485
California,Amador,3199 Feet,Gold,38.4469,-120.56690,10211258
Irish Hill,Amador,249 Feet,Gold,38.3689,-120.97440,10138824
Jill,Amador,2398 Feet,Gold,38.4181,-120.56470,10114312
Jumbo,Amador,2799 Feet,Gold,38.4342,-120.51670,10138328
Montezuma,Amador,1076 Feet,Gold,38.475,-120.84330,10138379
Lagomaraino Drift Tunnel,Amador,2398 Feet,Gold,38.4464,-120.64140,10211671
Unnamed Mine,Amador,2789 Feet,Gold,38.6175,-120.48640,10138765
Excelsior,Amador,1348 Feet,Gold,38.4317,-120.80750,10283941
San Andreas Dredge,Amador,249 Feet,Gold,38.3661,-120.96670,10162473
E.A. Kent Dredge No. 1,Amador,na,Gold,38.5367,-120.71190,10187222
Doyle,Amador,974 Feet,Gold,38.3253,-120.75310,10260337
Templeton,Amador,1001 Feet,Gold,38.4908,-120.84280,10163129
Randell,Amador,2221 Feet,Gold,38.4186,-120.62420,10283943
Downs,Amador,2241 Feet,Gold,38.4611,-120.60420,10284248
Fort Ann Mine,Amador,2461 Feet,Gold,38.4883,-120.63060,10187404
Spagnoli,Amador,2320 Feet,Gold,38.3881,-120.66000,10259887
Placer Gravel,Amador,1699 Feet,Gold,38.4828,-120.76580,10186868
Isaac Newton,Amador,1099 Feet,Gold,38.3283,-120.75330,10284705
No. 1 and No. 2,Amador,1299 Feet,Gold,38.395,-120.78780,10259760
Crannis,Amador,801 Feet,Gold,38.3028,-120.75140,10280269
Unnamed Workings,Amador,1900 Feet,Gold,38.5306,-120.76750,10284398
Hercules,Amador,801 Feet,Gold,38.4583,-120.83610,10284706
Indiana Mine,Amador,1079 Feet,Gold,38.4775,-120.84390,10260073
El Dorado,Amador,1001 Feet,Gold,38.4242,-120.81720,10211643
Argonaut Mine,Amador,1519 Feet,Gold,38.3631,-120.78530,10235166
Old Eureka,Amador,1329 Feet,Gold,38.3881,-120.79890,10138777
Farrell,Amador,600 Feet,Gold,38.2911,-120.75330,10235281
Little Sargent,Amador,899 Feet,Gold,38.3025,-120.75250,10138554
Dewitt,Amador,1250 Feet,Gold,38.3203,-120.75690,10284680
Victoria,Amador,1099 Feet,Gold,38.4683,-120.84220,10113939
Governor Bradford,Amador,899 Feet,Gold,38.4594,-120.84280,10114145
Plymouth-Eureka,Amador,1240 Feet,Gold,38.49,-120.86080,10162499
Wonder,Amador,1099 Feet,Gold,38.4192,-120.82030,10211298
Tiger Mine,Amador,na,Gold,38.5175,-120.93611,10028057
Unknown,Amador,na,Gold,38.44211,-120.64467,10028025
Fancher,Amador,na,Gold Clay,38.29861,-120.93111,10028015
New London Mine,Amador,1060 Feet,Gold,38.4686,-120.84500,10138365
Amador Mine,Amador,1250 Feet,Gold,38.3322,-120.75360,10187306
Fuller,Amador,1401 Feet,Gold,38.3303,-120.76170,10114725
Blue Jacket,Amador,1260 Feet,Gold,38.3458,-120.76360,10235194
