State,County,Claims,Latitude,Longitude,MTRS
California,Alpine,11,38.5313977160001,-119.818928034,21 0080N 0200E 019
California,Alpine,3,38.513376862,-119.80140136899999,21 0080N 0200E 029
California,Alpine,1,38.6585005050001,-119.73013785,21 0090N 0200E 001
California,Alpine,6,38.635810173,-119.728086754,21 0090N 0200E 012
California,Alpine,5,38.624499511000096,-119.72809524,21 0090N 0200E 013
California,Alpine,1,38.624427792000105,-119.74656184,21 0090N 0200E 014
California,Alpine,1,38.6096058680001,-119.765199931,21 0090N 0200E 022
California,Alpine,3,38.594940358,-119.784211176,21 0090N 0200E 028
California,Alpine,2,38.6106009800001,-119.710564083,21 0090N 0210E 019
California,Alpine,1,38.611800558,-119.69332058100001,21 0090N 0210E 020
California,Alpine,1,38.698495707000106,-119.767089773,21 0100N 0200E 022
California,Alpine,2,38.684017236,-119.748723953,21 0100N 0200E 026
California,Alpine,1,38.6694124270001,-119.78560191,21 0100N 0200E 033
California,Alpine,1,38.6693199360001,-119.76744967799999,21 0100N 0200E 034
California,Alpine,3,38.665187428,-119.731877322,21 0100N 0200E 036
California,Alpine,1,38.7728839870001,-119.891464484,21 0110N 0190E 031
California,Amador,2,38.3160377350001,-120.71494628200001,21 0050N 0110E 001
California,Amador,2,38.3158137080001,-120.678070186,21 0050N 0120E 005
California,Amador,6,38.3157481980001,-120.69635744799999,21 0050N 0120E 006
California,Amador,3,38.389934995,-120.899856485,21 0060N 0100E 008
California,Amador,3,38.3879515850001,-120.62508920200001,21 0060N 0120E 011
California,Amador,8,38.387455521,-120.60631131299999,21 0060N 0120E 012
California,Amador,10,38.3733870950001,-120.606345835,21 0060N 0120E 013
California,Amador,8,38.3731964580001,-120.625324436,21 0060N 0120E 014
California,Amador,10,38.359114711000096,-120.62450961399999,21 0060N 0120E 023
California,Amador,8,38.3450497960001,-120.62483772700001,21 0060N 0120E 026
California,Amador,2,38.344864761000096,-120.643011265,21 0060N 0120E 027
California,Amador,2,38.3302243910001,-120.679550141,21 0060N 0120E 032
California,Amador,2,38.4034078230001,-120.569071819,21 0060N 0130E 005
California,Amador,8,38.4034268,-120.587278634,21 0060N 0130E 006
California,Amador,1,38.4612389270001,-120.845227007,21 0070N 0100E 014
California,Amador,2,38.488678146,-120.751938044,21 0070N 0110E 003
California,Amador,2,38.4739048280001,-120.733292884,21 0070N 0110E 011
California,Amador,2,38.473720175,-120.71486226,21 0070N 0110E 012
California,Amador,2,38.474154813,-120.697012145,21 0070N 0120E 007
California,Amador,2,38.475157161,-120.64211266299999,21 0070N 0120E 010
California,Amador,1,38.461081887,-120.605177186,21 0070N 0120E 013
California,Amador,4,38.459671857,-120.697059902,21 0070N 0120E 018
California,Amador,3,38.4450685210001,-120.697227715,21 0070N 0120E 019
California,Amador,1,38.445534151000096,-120.67916024799999,21 0070N 0120E 020
California,Amador,1,38.431465904,-120.679020126,21 0070N 0120E 029
California,Amador,1,38.4174683690001,-120.66066816,21 0070N 0120E 033
California,Amador,1,38.446628462,-120.567794519,21 0070N 0130E 020
California,Amador,2,38.4180381910001,-120.586565693,21 0070N 0130E 031
California,Amador,2,38.4177067460001,-120.568157411,21 0070N 0130E 032
California,Amador,4,38.417550937,-120.531528074,21 0070N 0130E 034
California,Amador,2,38.4739816000001,-120.291021955,21 0070N 0150E 011
California,Amador,2,38.4734151820001,-120.272760566,21 0070N 0150E 012
California,Amador,2,38.520185134,-120.93623972600001,21 0080N 0090E 025
California,Amador,2,38.52065179,-120.95491669299999,21 0080N 0090E 026
California,Amador,1,38.5038548630001,-120.78981196,21 0080N 0110E 032
California,Butte,3,39.475825485,-121.41788812,21 0190N 0050E 028
California,Butte,1,39.5194505170001,-121.34299656799999,21 0190N 0060E 007
California,Butte,1,39.6218453640001,-121.13889589200001,21 0200N 0070E 001
California,Butte,1,39.606788773000105,-121.140355204,21 0200N 0070E 012
California,Butte,1,39.5628681800001,-121.176232724,21 0200N 0070E 027
California,Butte,1,39.5631058980001,-121.194376589,21 0200N 0070E 028
California,Butte,1,39.548764428,-121.21311226600001,21 0200N 0070E 032
California,Butte,2,39.605978613000005,-121.12387644299999,21 0200N 0080E 007
California,Butte,1,39.591645295999996,-121.088435475,21 0200N 0080E 016
California,Butte,1,39.639474981,-121.90166204200001,21 0210N 0010E 030
California,Butte,10,39.704900298000005,-121.589443481,21 0210N 0030E 001
California,Butte,1,39.70430975900009,-121.385276065,21 0210N 0050E 002
California,Butte,2,39.704793018000004,-121.274690222,21 0210N 0060E 002
California,Butte,1,39.690716898000105,-121.292558325,21 0210N 0060E 010
California,Butte,1,39.6930686050001,-121.199822876,21 0210N 0070E 009
California,Butte,4,39.664022415,-121.21877105200001,21 0210N 0070E 020
California,Butte,1,39.6640897790001,-121.199919309,21 0210N 0070E 021
California,Butte,1,39.7188550810001,-121.702934731,21 0220N 0020E 036
California,Butte,1,39.791897025,-121.607756888,21 0220N 0030E 002
California,Butte,1,39.7770460630001,-121.665499954,21 0220N 0030E 008
California,Butte,2,39.7923097300001,-121.57052250299999,21 0220N 0040E 006
California,Butte,1,39.7778592000001,-121.551954169,21 0220N 0040E 008
