gid,state,county,ftr_type,ftr_name,ftr_azimut,topo_name,topo_date,topo_scale,compiledby,remarks,gda_id,scanid,dir,longitude,latitude
365865,OR,Klamath,"Borrow Pit",,0,"Fort Klamath",1985,24000,USGS,,5418492,279927,,-121.9139855439999,42.63544989700006
374768,OR,Klamath,Quarry,,0,"Agency Lake",1985,24000,USGS,,5416258,278792,,-121.91913607599992,42.58134967700005
374770,OR,Klamath,Quarry,,0,Chemult,1967,24000,USGS,,5417298,279320,,-121.84501361399992,43.204135446000066
374772,OR,Klamath,Quarry,,0,Fuego,1998,24000,USGS,,5418584,279973,,-121.82880986099991,42.780407972000035
374774,OR,Klamath,Quarry,,0,"Walker Mountain",1999,24000,USGS,,5422618,281992,,-121.7236289409999,43.25635224200005
374777,OR,Klamath,Quarry,,0,Chemult,1967,24000,USGS,,5417298,279320,,-121.77013578299994,43.177427424000086
374779,OR,Klamath,Quarry,,0,"Pumice Desert East",1985,24000,USGS,,5421032,281185,,-122.07667569599994,43.098614405000035
51033,CA,Humboldt,"Gravel Pit",,0,"Fields Landing",1972,24000,"CA Dept Conserv",,5513833,101421,,-124.23790598599993,40.68929665400009
52626,CA,Marin,"Gravel/Borrow Pit - Undifferentiated",,0,"Two Rock",1971,24000,"CA Dept Conserv",,5525143,102089,,-122.85501813699994,38.282811398000035
85731,CA,Sonoma,Quarry,,0,"Bodega Head",1972,24000,"CA Dept Conserv",,5508917,100568,,-123.00598976999993,38.32741884700005
85747,CA,Sonoma,Quarry,,0,"Bodega Head",1972,24000,"CA Dept Conserv",,5508917,100568,,-123.01658791699992,38.31729530100006
85724,CA,Sonoma,Quarry,,0,"Duncans Mills",1979,24000,"CA Dept Conserv",,5512881,290091,,-123.06790095999992,38.376942952000036
85766,CA,Sonoma,Quarry,,0,"Duncans Mills",1979,24000,"CA Dept Conserv",,5512881,290091,,-123.03912385899991,38.40034657400008
374788,OR,Klamath,Quarry,,0,"Military Crossing",1988,24000,USGS,,5420166,280735,,-121.64741400799994,42.87930260100006
374790,OR,Klamath,Quarry,,0,Chemult,1967,24000,USGS,,5417298,279320,,-121.76693112499993,43.18896305100009
374792,OR,Klamath,Quarry,"Lower Walker Quarry",0,"Walker Mountain",1999,24000,USGS,,5422618,281992,,-121.74950129599989,43.26522763200006
374793,OR,Klamath,Quarry,,0,Chemult,1967,24000,USGS,,5417298,279320,,-121.7645012189999,43.21960099100005
365871,OR,Klamath,"Borrow Pit",,0,"Modoc Point",1985,24000,USGS,,5420228,280767,,-121.83022767499995,42.484671002000084
374799,OR,Klamath,Quarry,,0,"Sun Pass",1985,24000,USGS,,5422038,281698,,-121.95066047299991,42.82976813100004
365925,OR,Klamath,"Borrow Pit",,0,"Modoc Point",1985,24000,USGS,,5420228,280767,,-121.8669075919999,42.485496407000085
375985,OR,Klamath,"Quarry - Pumice",,0,Chemult,1967,24000,USGS,,5417298,279320,,-121.78216062699994,43.20339876500009
376056,OR,Klamath,"Sand Pit",,0,"Applegate Butte",1988,24000,USGS,,5416414,278871,,-121.73220323599992,42.73661526300003
367188,OR,Klamath,"Cinder Pit",,0,"Calimus Butte",1988,24000,USGS,,5417146,279239,,-121.51608687599992,42.66423685500007
376059,OR,Klamath,"Sand Pit",,0,"Agency Lake",1985,24000,USGS,,5416258,278792,,-121.9062009999999,42.50243666300008
367202,OR,Klamath,"Cinder Pit",,0,"Wildhorse Ridge",1988,24000,USGS,,5422810,282094,,-121.6105412089999,42.884140692000074
553089,OR,Klamath,"Gravel Pit",,0,Chiloquin,1957,62500,USGS,"Symbolized as Open Pit Mine or Quarry, but labeled Gravel Pit.",5544394,282335,,-121.88361260199991,42.530102045000035
553094,OR,Klamath,"Gravel Pit",,0,Chiloquin,1957,62500,USGS,"Symbolized as Open Pit Mine or Quarry, but labeled Gravel Pit.",5544394,282335,,-121.90673304199993,42.50126404300005
367216,OR,Klamath,"Cinder Pit",,0,Mazama,1967,24000,USGS,,5420036,280668,,-121.79701553599995,43.11503741300004
553102,OR,Klamath,"Gravel Pit",,0,Lenz,1957,62500,USGS,"Symbolized as Open Pit Mine or Quarry, but labeled Gravel Pit.",5544974,282657,,-121.9503603099999,42.83183412900007
367223,OR,Klamath,"Cinder Pit",,0,"Wocus Bay",1988,24000,USGS,,5422872,282125,,-121.69363986499991,42.81686206100005
553573,OR,Klamath,"Open Pit Mine or Quarry",,0,Chiloquin,1957,62500,USGS,,5544394,282335,,-121.88944034499991,42.52779296700004
367227,OR,Klamath,"Cinder Pit",,0,Lenz,1988,24000,USGS,,5419720,280507,,-121.76671617499994,42.98954712500006
554301,OR,Klamath,Quarry,,0,"Modoc Point",1957,62500,USGS,,5545082,282717,,-121.86662386599994,42.483204113000056
367241,OR,Klamath,"Cinder Pit",,0,"Miller Lake",1967,24000,USGS,,5420178,280741,,-121.91010138999991,43.19164708300008
554303,OR,Klamath,Quarry,,0,"Calimus Butte",1956,62500,USGS,,5544336,282295,,-121.73230903899992,42.736741074000065
554305,OR,Klamath,Quarry,,0,Lenz,1957,62500,USGS,,5544974,282657,,-121.8292647799999,42.77966682600004
554314,OR,Klamath,Quarry,,0,Lenz,1957,62500,USGS,,5544974,282657,,-121.95058873799991,42.82954984700007
367178,OR,Klamath,"Cinder Pit",,0,"Gordon Lake",1988,24000,USGS,,5418742,280053,,-121.45417657399992,42.91083878200004
367180,OR,Klamath,"Cinder Pit",,0,"Bear Butte",1999,24000,USGS,,5416588,278959,,-121.41653972099994,43.036587059000055
367184,OR,Klamath,"Cinder Pit",,0,"Bear Butte",1968,24000,USGS,,5416586,278958,,-121.46954383299993,43.07810475200006
367206,OR,Klamath,"Cinder Pit",,0,"Bear Butte",1968,24000,USGS,,5416586,278958,,-121.41491692799991,43.00465992800008
367207,OR,Klamath,"Cinder Pit",,0,"Bear Butte",1968,24000,USGS,,5416586,278958,,-121.43542978599993,43.06772325800006
367213,OR,Klamath,"Cinder Pit",,0,"Gordon Lake",1988,24000,USGS,,5418742,280053,,-121.43752629499994,42.974176846000034
367238,OR,Klamath,"Cinder Pit",,0,"Gordon Lake",1988,24000,USGS,,5418742,280053,,-121.48162292399991,42.98890185600004
367255,OR,Klamath,"Cinder Pit",,0,"Bear Butte",1999,24000,USGS,,5416588,278959,,-121.38690324899994,43.03203629300003
368123,OR,Klamath,"Gravel Pit",,0,"Bear Butte",1968,24000,USGS,,5416586,278958,,-121.46539138799994,43.041955028000075
553103,OR,Klamath,"Gravel Pit",,0,"Yamsay Mountain",1960,62500,USGS,,5545626,283028,,-121.48134978299993,42.989764549000085
367253,OR,Klamath,"Cinder Pit",,0,"Ferguson Mountain",1988,24000,USGS,,5418340,279851,,-121.2389368019999,42.42364439500005
367269,OR,Lake,"Cinder Pit",,0,"Gearhart Mountain",1988,24000,USGS,,5418640,280001,,-120.83165180599991,42.40537183400005
367325,OR,Lake,"Cinder Pit",,0,"Gearhart Mountain",1988,24000,USGS,,5418640,280001,,-120.86153593199992,42.40220239200005
368120,OR,Klamath,"Gravel Pit",,0,"Rodeo Butte",1988,24000,USGS,,5421260,281301,,-121.03600796599994,42.53639461800009
368122,OR,Klamath,"Gravel Pit",,0,"Campbell Reservoir",1988,24000,USGS,,5417166,279249,,-120.97447571599992,42.38355611900005
368127,OR,Klamath,"Gravel Pit",,0,Beatty,1988,24000,USGS,,5416600,278964,,-121.26936300699992,42.496057035000035
368130,OR,Klamath,"Gravel Pit",,0,"Horsefly Mountain",1988,24000,USGS,,5419128,280250,,-121.03614684999991,42.339514045000044
368143,OR,Klamath,"Gravel Pit",,0,"Horsefly Mountain",1988,24000,USGS,,5419128,280250,,-121.0288909219999,42.360007867000036
368145,OR,Klamath,"Gravel Pit",,0,Beatty,1988,24000,USGS,,5416600,278964,,-121.26662752399994,42.49740299500007
368147,OR,Klamath,"Gravel Pit",,0,Bly,1988,24000,USGS,,5416838,279079,,-121.05300714599991,42.405689548000055
368149,OR,Klamath,"Gravel Pit",,0,Bly,2004,24000,USGS,,5416840,279080,,-121.0605096679999,42.376539371000035
368154,OR,Klamath,"Gravel Pit",,0,"Horsefly Mountain",1988,24000,USGS,,5419128,280250,,-121.1147114179999,42.329610728000034
368155,OR,Klamath,"Gravel Pit",,0,"Sprague River East",1988,24000,USGS,,5421814,281583,,-121.44028155799992,42.44147036500004
368160,OR,Klamath,"Gravel Pit",,0,"Horsefly Mountain",2004,24000,USGS,,5419130,280251,,-121.11580333199993,42.329644656000085
368161,OR,Klamath,"Gravel Pit",,0,Beatty,1988,24000,USGS,,5416600,278964,,-121.27044398999993,42.49490877100004
368171,OR,Klamath,"Gravel Pit",,0,"Sprague River East",1988,24000,USGS,,5421814,281583,,-121.45515223799993,42.44475973200008
368172,OR,Klamath,"Gravel Pit",,0,"Horsefly Mountain",1988,24000,USGS,,5419128,280250,,-121.04236604699992,42.33591534800007
368189,OR,Lake,"Gravel Pit",,0,"Quartz Valley",2004,24000,USGS,,5421054,281197,,-120.85275495499991,42.29641092600008
368212,OR,Lake,"Gravel Pit",,0,"Barnes Valley",1988,24000,USGS,,5416554,278942,,-120.87977396399992,42.24693558100006
369360,OR,Klamath,"Gravel/Borrow Pit - Undifferentiated",,0,Bly,2004,24000,USGS,,5416840,279080,,-121.0070956049999,42.430348010000046
369363,OR,Klamath,"Gravel/Borrow Pit - Undifferentiated",,0,Bly,2004,24000,USGS,,5416840,279080,,-121.04558464199994,42.37910517900008
369368,OR,Klamath,"Gravel/Borrow Pit - Undifferentiated",,0,Bly,2004,24000,USGS,,5416840,279080,,-121.05273979599991,42.407986287000085
369370,OR,Klamath,"Gravel/Borrow Pit - Undifferentiated",,0,Bly,2004,24000,USGS,,5416840,279080,,-121.01485939499992,42.44775980600008
370022,OR,Lake,"Open Pit Mine",,0,"Cougar Peak",1964,24000,USGS,,5417550,279452,,-120.74405835499994,42.32095754200009
370031,OR,Lake,"Open Pit Mine",,0,"Cougar Peak",2004,24000,USGS,,5417554,279454,,-120.74269046899991,42.32100891300007
372504,OR,Lake,"Prospect Pit",,0,"Quartz Valley",1988,24000,USGS,,5421052,281196,,-120.77374923799994,42.32965368500004
372545,OR,Lake,"Prospect Pit",,0,"Quartz Valley",1988,24000,USGS,,5421052,281196,,-120.76319066999991,42.324254944000074
372576,OR,Lake,"Prospect Pit",,0,"Quartz Valley",1988,24000,USGS,,5421052,281196,,-120.77336820999994,42.328232427000046
374762,OR,Klamath,Quarry,,0,Bly,1988,24000,USGS,,5416838,279079,,-121.06319705099992,42.37528630600008
374763,OR,Klamath,Quarry,,0,"Horsefly Mountain",1988,24000,USGS,,5419128,280250,,-121.06378004499993,42.37433766600009
374771,OR,Klamath,Quarry,,0,Bly,2004,24000,USGS,,5416840,279080,,-121.01141831399991,42.391595608000046
374778,OR,Klamath,Quarry,,0,Yonna,1988,24000,USGS,,5422950,282164,,-121.39769072099995,42.35352145600007
374780,OR,Klamath,Quarry,,0,Bly,1988,24000,USGS,,5416838,279079,,-121.01200699299994,42.391386881000074
374782,OR,Klamath,Quarry,,0,"Campbell Reservoir",1988,24000,USGS,,5417166,279249,,-120.99886804599993,42.39016150300006
374786,OR,Klamath,Quarry,,0,"Dry Prairie",1988,24000,USGS,,5418060,279711,,-121.2441822859999,42.36450264000007
374787,OR,Klamath,Quarry,,0,"Sprague River East",1988,24000,USGS,,5421814,281583,,-121.4628393449999,42.42924818100005
374794,OR,Klamath,Quarry,,0,Yonna,1988,24000,USGS,,5422950,282164,,-121.3969178719999,42.355021468000075
374795,OR,Klamath,Quarry,,0,Yonna,1988,24000,USGS,,5422950,282164,,-121.3962516229999,42.35395166300009
374797,OR,Klamath,Quarry,,0,"Paradise Mountain",1988,24000,USGS,,5420752,281037,,-120.9466976729999,42.29653953600007
374798,OR,Klamath,Quarry,,0,Yonna,1988,24000,USGS,,5422950,282164,,-121.40024340699989,42.35217848800005
374802,OR,Klamath,Quarry,,0,"Campbell Reservoir",1988,24000,USGS,,5417166,279249,,-120.93549062699992,42.45718425700005
374803,OR,Lake,Quarry,,0,"Quartz Valley",1988,24000,USGS,,5421052,281196,,-120.83895044499991,42.32569553400003
374804,OR,Lake,Quarry,,0,"Gearhart Mountain",2004,24000,USGS,,5418642,280002,,-120.79006727399991,42.43078565400003
374805,OR,Lake,Quarry,,0,"Quartz Valley",1988,24000,USGS,,5421052,281196,,-120.85276559599993,42.29716147500005
374806,OR,Lake,Quarry,,0,"Quartz Valley",1988,24000,USGS,,5421052,281196,,-120.8339940919999,42.32694250000009
374807,OR,Lake,Quarry,,0,"Quartz Valley",2004,24000,USGS,,5421054,281197,,-120.83856294899994,42.325417868000045
374810,OR,Lake,Quarry,,0,"Gearhart Mountain",1988,24000,USGS,,5418640,280001,,-120.79710644799991,42.41742568900008
374814,OR,Lake,Quarry,,0,"Gearhart Mountain",1988,24000,USGS,,5418640,280001,,-120.79070413699992,42.43128511600008
376057,OR,Klamath,"Sand Pit",,0,"Paradise Mountain",1988,24000,USGS,,5420752,281037,,-120.9261211999999,42.35704416100003
376058,OR,Klamath,"Sand Pit",,0,"Paradise Mountain",1988,24000,USGS,,5420752,281037,,-120.91813754599991,42.350113725000085
552869,OR,Klamath,"Cinder Pit",,0,"Fuego Mountain",1960,62500,USGS,,5544700,282506,,-121.45116105699992,42.54841446900008
552877,OR,Klamath,"Cinder Pit",,0,Bly,1960,62500,USGS,,5544272,282262,,-121.01308098699991,42.375868051000054
553088,OR,Klamath,"Gravel Pit",,0,Beatty,1960,62500,USGS,,5544240,282245,,-121.27070113399992,42.494656827000085
553096,OR,Klamath,"Gravel Pit",,0,Bly,1960,62500,USGS,,5544272,282262,,-121.02883111499995,42.35971817300003
553100,OR,Klamath,"Gravel Pit",,0,Bly,1960,62500,USGS,,5544272,282262,,-121.0360294599999,42.339590788000066
553104,OR,Klamath,"Gravel Pit",,0,Bly,1960,62500,USGS,,5544272,282262,,-121.0168957379999,42.39019240600004
