gid,state,county,ftr_type,ftr_name,ftr_azimut,topo_name,topo_date,topo_scale,compiledby,remarks,gda_id,scanid,dir,longitude,latitude
60178,CA,Siskiyou,"Open Pit Mine","Penn Mine",0,"Condrey Mtn.",1983,24000,"CA Dept Conserv",,5511399,289458,,-122.98827699899994,41.983425106000084
501207,CA,Siskiyou,"Prospect Pit","Penn Mine",0,"Condrey Mtn.",1955,62500,USGS,,5679224,297170,,-122.98915127399994,41.98336074800005
60165,CA,Siskiyou,"Open Pit Mine","Cobb Mine",0,"Dutch Creek",1980,24000,"CA Dept Conserv",,5512939,302964,,-123.07485965599994,41.996382175000065
60218,CA,Siskiyou,"Open Pit Mine","Boggs Mine",0,"Dutch Creek",1980,24000,"CA Dept Conserv","Symbolized as Gravel/Borrow Pit - Undifferentiated, but labeled Mine.",5512939,302964,,-123.06456801199994,41.99964061400004
83940,CA,Siskiyou,"Prospect Pit",,0,"Dutch Creek",1980,24000,"CA Dept Conserv",,5512939,302964,,-123.09324768399989,41.96381507500007
84039,CA,Siskiyou,"Prospect Pit",,0,"Dutch Creek",1980,24000,"CA Dept Conserv",,5512939,302964,,-123.10232119799991,41.96346085000005
84081,CA,Siskiyou,"Prospect Pit",,0,"Dutch Creek",1980,24000,"CA Dept Conserv",,5512939,302964,,-123.09292300599992,41.96606627400007
84129,CA,Siskiyou,"Prospect Pit",,0,"Dutch Creek",1980,24000,"CA Dept Conserv",,5512939,302964,,-123.09550856599992,41.96719062200009
84160,CA,Siskiyou,"Prospect Pit","Mohawk Mine",0,"Figurehead Mtn.",1980,24000,"CA Dept Conserv",,5657560,290518,,-123.25805306199993,41.99375835400008
85710,CA,Siskiyou,Quarry,,0,"Kangaroo Mountain",1996,24000,USGS,,5516317,101496,,-123.1948349459999,41.98436426500007
501183,CA,Siskiyou,"Prospect Pit",,0,Ruch,1954,62500,USGS,,5545290,282850,,-123.14219885299991,42.00091505100005
48680,CA,Siskiyou,Adit,"Tin Cup Mine",60,"Dutch Creek",1980,24000,"CA Dept Conserv",,5512939,302964,ne,-123.09559531299993,41.96594810600004
489625,CA,Siskiyou,Adit,"Blue Ledge Mine",80,"Seiad Valley",1955,62500,USGS,,5657979,301672,e,-123.09356169199992,41.96365426300008
489762,CA,Siskiyou,Adit,,97,"Seiad Valley",1955,62500,USGS,,5657979,301672,e,-123.09500174199991,41.96570916500008
489946,CA,Siskiyou,Adit,,111,"Seiad Valley",1955,62500,USGS,,5657979,301672,e,-123.10037361299993,41.96320121300005
489836,CA,Siskiyou,Adit,,148,"Seiad Valley",1955,62500,USGS,,5657979,301672,se,-123.10962876499991,41.95706886600004
489945,CA,Siskiyou,Adit,,156,"Seiad Valley",1955,62500,USGS,,5657979,301672,se,-123.10252559799994,41.961308114000076
48485,CA,Siskiyou,Adit,,214,"Dutch Creek",1980,24000,"CA Dept Conserv",,5512939,302964,sw,-123.10693813199993,41.96028611300005
48505,CA,Siskiyou,Adit,"Blue Ledge Mine",214,"Dutch Creek",1980,24000,"CA Dept Conserv",,5512939,302964,sw,-123.10800260299993,41.95975318500007
48835,CA,Siskiyou,Adit,,215,"Dutch Creek",1980,24000,"CA Dept Conserv",,5512939,302964,sw,-123.10761072199995,41.95903554000006
489853,CA,Siskiyou,Adit,,222,"Seiad Valley",1955,62500,USGS,,5657979,301672,sw,-123.10841335099991,41.95713358800003
48704,CA,Siskiyou,Adit,,260,"Squaw Lakes",1983,24000,USGS,,5421852,281604,w,-123.10714466799993,42.00309250500004
489609,CA,Siskiyou,Adit,,256,"Seiad Valley",1955,62500,USGS,,5657979,301672,w,-123.10823893899993,41.95611779900008
489804,CA,Siskiyou,Adit,Tunnel,270,Ruch,1954,62500,USGS,,5545290,282850,w,-123.1081697169999,42.00439871700007
48813,CA,Siskiyou,Adit,,345,"Squaw Lakes",1983,24000,USGS,,5421852,281604,n,-123.10287863799994,42.00051803700006
501241,CA,Siskiyou,"Prospect Pit",,0,"Preston Peak",1956,62500,USGS,,5657859,298675,,-123.5385439079999,41.94084551700007
50689,CA,Siskiyou,"Cinder Pit",,0,"Sharp Mtn.",1988,24000,"CA Dept Conserv",,5523211,295144,,-121.7576308109999,41.73616399100007
52305,CA,Siskiyou,"Gravel Pit",,0,"Mount Dome",1985,24000,"CA Dept Conserv",,5518921,293175,,-121.7498437129999,41.778352098000084
52311,CA,Siskiyou,"Gravel Pit",,0,"Mount Dome",1985,24000,"CA Dept Conserv",,5518921,293175,,-121.75054947699994,41.78049663200005
