Deposit	District	County	State	Long	Lat	No.	Deposit Type	No.	Alternative deposit types	Environmental Model	Discovery Year	Production Dates	Production Tonnage	Tonnage Units	Production Gold oz	Production Silver oz	Production Copper lbs	Production Lead lbs	Production Zinc lbs	Other Production	"References:Production"	Resource Year	Resource Tonnage	Tonnage Units	Grade Au opt or gpt	Grade Ag opt or gpt	Grade Cu (%)	Grade Pb (%)	Grade Zn (%)	Other Grades	"References:Resources"	Comments	Operators	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Nu Layer	Tract	Map No.	Seq. No.	Active Mine	"New Mine(date production will begin)"	Active Prospect	"Best Source(for updating)"
"Alaska-Juneau (A.J., Perseverance)"	Juneau - Admiralty	Juneau	AK	-134.345	58.308	36a	Low sulfide Au-quartz vein			Low sulfide Au-quartz vein	1880	1893-1944	"88,500,000"	short t	"3,520,000"	"1,900,000"	no	"40,200,000"	no		"Light and others, 1989; Nokleberg and others, 1987"	1995	"105,700,000"	short t	0.05	unk		unk			"Bundtzen and others, 1996"		Echo Bay	"80,000"	109.5	59	no	18	no	"96,000"	164	unk		unk		AKGQ	AK729	15			Development suspended 1996		Echo Bay SEC Form 10K; www.echobay.com
Aniak - Donlin Creek - Nyac	Aniak - Tuluksak	Bethel	AK	-158.000	61.000	39a	Placer Au-PGE				1909	1909-1964			"568,601"	"67,000"	no	no	no	Mercury	"Bundtzen and Miller, 1997"														17.7	2	no	no	no							AKPL	AK755	63					
Apollo - Sitka	Kodiak - Unga Island	Dillingham	AK	-160.562	55.191	25	"Epithermal vein, quartz-adularia"			"Creede, Comstock and Sado epithermal vein"	1891	1894-1906	"490,000"	short t	"107,600"	unk	no	no	no		"Brown, 1947; Nokleberg and others, 1987; Bundtzen and others, 1996"		"2,289,000"	short t	0.14	7.9	unk	unk	unk		"Brown, 1947; Alaska Apollo Resources 1996 SEC Form 10K"		Alaska Apollo Resources	445	3.3	unk	no	no	no	"2,077"	10	562	unk	unk	unk	AKEV	AK644	08				Yes	Alaska Apollo Resources SEC Form 10K
Arctic Camp	Squirrel River (Ambler)	Northwest Arctic	AK	-156.386	67.181	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	1965		no		no	no	no	no	no				"40,000,000"	short t	0.02	1.6	4.0	0.8	5.5		"Bundtzen and others, 1996"		Kennecott	no	no	no	no	no	no	"36,300"	25	"2,000"	"1,450"	290	"2,000"	AKKU	AK661	24			Project will be reactivated if a road is built.		
"Banjo (Eureka, Red Top)"	Kantishna	Denali	AK	-150.733	63.567	36a	Low sulfide Au-quartz vein	22c	"Vein, polymetallic"	Low sulfide Au-quartz vein	by 1922	1939-1941	"13,653"	short t	"6,260"	"7,114"	neg	neg	neg	"Arsenic, tungsten"	"Bundtzen and others, 1976"		"160,000"	metric t	13.40	123.0				1.5% Pb+Zn; Antimony	"Nokleberg and others, 1987"			12	0.2	0.2	neg	neg	neg	160	2.1	19.7	unk	unk	unk	AKPV	AK564B	77					
Baultoff	Chisana - Nabensa	Southeast Fairbanks	AK	-141.212	62.111	21a	Porphyry Cu-Mo			Porphyry Cu	late 1960s		no		no	no	no	no	no			1975	"160,000,000"	short t	unk	unk	0.1	no	no	<0.01% Mo	"Bundtzen and others, 1996; Young and others, 1997"			no	no	no	no	no	no	"145,000"	unk	unk	131	no	no	AKPC2	AK516	37					
Big Hurrah	Council - Solomon	Nome	AK	-164.237	64.653	36a	Low-sulfide Au quartz vein			Low sulfide Au-quartz vein	1900	1903-1954	"50,000"	short t 	"27,000"	unk	no	no	no		"Bundtzen and others, 1996"		"104,000"	short t	0.61	0.6				Tungsten	"Bundtzen and others, 1996"		Golden Zone Resources	45	0.8	unk	no	no	no	94	2.0	1.8				AKGQ	AK721	11			Development proposed	Yes	
Bohemia Basin	Chichagoff	Skagway-Yakutat-Angoon	AK	-136.420	57.970	7a	Synorogenic-synvolcanic Ni-Cu		Gabbroic Ni-Cu	Magmatic sulfide	1976		no		no	no	no	no	no			1980	"22,000,000"	short t	unk	unk	0.21 to 0.27	no	no	"0.33 to 0.51% Ni, 0.02% Co"	"Bundtzen and others, 1996"	Within West Chichagoff-Yakobi Wilderness		no	no	no	no	no	no	"20,000"	unk	unk	50	no	no	AKMA	AK800	88					
Bond Creek	Chisana - Nabensa	Valdez-Cordova	AK	-142.705	62.200	21a	Porphyry Cu-Mo	18a	"Porphyry Cu, skarn-related"	Porphyry Cu	early 1960s		no		no	no	no	no	no			1975	"500,000,000"	metric t	unk	unk	0.3	no	no	0.02% Mo	"Nokleberg and others, 1987"			no	no	no	no	no	no	"450,000"	unk	unk	"1,361"	no	no	AKPC2	AK516	38					
Bornite (Ruby Creek)	Squirrel River (Ambler)	Northwest Arctic	AK	-156.947	67.064	32c	Kipushi Cu				1959		no		no	no	no	no	no				"100,000,000"	short t	unk	unk	1.2	unk	unk	Cobalt	"Bundtzen and others, 1996"		NANA Regional	no	no	no	no	no	no	"91,000"	unk	unk	"1,820"	unk	unk	AKKC	AK712	22				Returned to NANA	
