i	dep_id	line	alt_type	alterat	alterat_text	inserted_by	insert_date	updated_by	update_date
1	"10046769"	1	"L"	""	"Oxidation Due To Supergene Alteration; Strong Propylitization; Local Argillization And Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
2	"10003500"	1	"L"	""	"Limonite, quartz"	"MRDS migration"	"29-OCT-2002 09:07:14"	"ARDF Migration"	"23-AUG-2007 16:17:02"
3	"10046431"	1	"L"	""	"Silicification"	"MRDS migration"	"29-OCT-02"	""	""
4	"10004958"	1	"L"	""	"Kaolinitization"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
5	"10080433"	1	"L"	""	"Red Ferruginous Sandstone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
6	"10095380"	1	"L"	""	"Hydrothermal"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
7	"10006197"	1	"L"	""	"Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8	"10039722"	1	"L"	""	"Qtz-Ser-Pyr"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
9	"10007797"	1	"L"	""	"Ore Consists Of Massive And Altered, Or Laterized, Chromite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
10	"10007796"	1	"L"	""	"Ore Consists Of Massive And Altered, Or Laterized, Chromite"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
11	"10011189"	1	"L"	""	"Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
12	"10105059"	1	"L"	""	"Argillic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
13	"10006626"	1	"L"	""	"Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
14	"10089179"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
15	"10059599"	1	"L"	""	"Propylitic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
16	"10095317"	1	"L"	""	"Argillic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
17	"10071401"	1	"L"	""	"Bleaching In Mudstone And Sandstone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
18	"10071700"	1	"L"	""	"Fe Oxides"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
19	"10010824"	1	"L"	""	"Skarn, Marble"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
20	"10042191"	1	"L"	""	"Silicification"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
21	"10104792"	1	"L"	""	"Argillic, Silicic"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
22	"10023147"	1	"L"	""	"Hidrotermal: Caolinizacion, Piritizacion Y Propilitizacion."	"MRDS migration"	"29-OCT-02"	""	""
23	"10003832"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
24	"10088800"	1	"L"	""	"Oxidation"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
