i	dep_id	line	ore_ctrl	ore_ctrl_text	inserted_by	insert_date	updated_by	update_date
1	"10011291"	1	""	"Lake Bar"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
2	"10046769"	1	""	"Ne-Trending Faults And Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
3	"10086832"	1	""	"Estructural"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
4	"10044281"	1	""	"No Information"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
5	"10088064"	1	""	"Quartz Veins"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
6	"10055962"	1	""	"The 49th Parallel Deposit Is In The Chlorite Alteration Zone Of The Kelsey Porphyry Copper-Molybdenum Deposit (Roper, 1973)."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
7	"10109649"	1	""	"Shear Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
8	"10089626"	1	""	"Paleochannel"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
9	"10040319"	1	""	"The Ore Is Located In A Discontinous, Easterly Trending, Gently South Dipping Shear Zone. Ore Is Along Hanging Wall Of The Fault."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
10	"10026950"	1	""	"Manganese Minerals Occur In Volcanic Rocks Along A Fracture Zone Striking Nw And Dipping Steeply Sw"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
11	"10108666"	1	""	"Fracture Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
12	"10046845"	1	""	"Igneous Contact"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
13	"10089179"	1	""	"Closely Spaced Fractures"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
14	"10048219"	1	""	"Fault Blocks In Granite"	"MRDS migration"	"29-OCT-02"	""	""
15	"10103739"	1	""	"Fault"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
16	"10079524"	1	""	"Lead,Zinc Mineralization Is Confined To The Above Mmio Marl Horizon And To The Contact Between Clay And Limestones"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
17	"10058212"	1	""	"Bedding In Part"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
18	"10079706"	1	""	"Mineralization Associated With Diorite Dike."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
19	"10026840"	1	""	"Deposits Occur Along Two Northerly Trending Veins About 300 Ft. Apart."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
20	"10087762"	1	""	"Carbonaceous Shales, Coal Seams Control Ore"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
21	"10048264"	1	""	"Faulting, Shearing"	"MRDS migration"	"29-OCT-02"	""	""
22	"10046045"	1	""	"Intersection Of 2 Fissures-Stockwork"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
23	"10088491"	1	""	"Fracturas Y Fallas"	"MRDS migration"	"29-OCT-02"	""	""
24	"10073155"	1	""	"Fractures And Bedding Planes"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
25	"10022123"	1	""	"Reducing Environment, Stratigraphic, Sabkha?"	"MRDS migration"	"29-OCT-02"	""	""
26	"10004313"	1	""	"Fracture System"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
27	"10310540"	1	""	"NE-TRENDING FAULTS AND FRACTURES"	"Surveys and Analysis Project"	"01-SEP-2007 00:00:00"	"Schruben, Paul"	"01-SEP-2007 00:00:00"
28	"10046431"	1	""	"Combined Metals Member Bed; Lamprophyre Dike"	"MRDS migration"	"29-OCT-02"	""	""
29	"10110231"	1	""	"Sandstone Member"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
30	"10044343"	1	""	"Along Fracture Planes."	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
31	"10099334"	1	""	"Estructural: La Mineralizacion Se Encuentra Como Relleno De Fractura"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
32	"10041487"	1	""	"Fracture Zone"	"MRDS migration"	"29-OCT-2002 09:07:14"	""	""
